transaction_id,customer_id,category_id,transaction_date,amount,currency,merchant,channel,amount_gbp,year,month,month_name,quarter,day_of_week
TXN0008522,CUST00213,CAT02,2026-02-11,123.37,GBP,EE,Mobile App,123.37,2026,2,February,1,Wednesday
TXN0010158,CUST00014,CAT03,2025-10-02,22.38,GBP,Costa Coffee,Online Banking,22.38,2025,10,October,4,Thursday
TXN0007882,CUST00264,CAT07,2025-12-09,25.58,GBP,Amazon Prime,Mobile App,25.58,2025,12,December,4,Tuesday
TXN0004875,CUST00079,CAT10,2025-06-19,153.45,GBP,Direct Debit,Mobile App,153.45,2025,6,June,2,Thursday
TXN0011422,CUST00342,CAT02,2025-01-21,87.23,GBP,Thames Water,Online Banking,87.23,2025,1,January,1,Tuesday
TXN0007746,CUST00050,CAT02,2025-10-12,161.87,GBP,EE,Card Payment,161.87,2025,10,October,4,Sunday
TXN0003693,CUST00433,CAT08,2025-01-10,312.35,GBP,IKEA,Mobile App,312.35,2025,1,January,1,Friday
TXN0001497,CUST00476,CAT03,2025-02-22,51.46,GBP,Pret A Manger,Mobile App,51.46,2025,2,February,1,Saturday
TXN0001214,CUST00468,CAT01,2025-04-14,96.4,GBP,ASDA,Online Banking,96.4,2025,4,April,2,Monday
TXN0011101,CUST00022,CAT05,2025-11-10,239.86,GBP,Booking.com,Mobile App,239.86,2025,11,November,4,Monday
TXN0011169,CUST00172,CAT02,2025-09-14,136.88,GBP,EE,Mobile App,136.88,2025,9,September,3,Sunday
TXN0004084,CUST00358,CAT02,2026-01-14,194.36,GBP,EDF Energy,ATM,194.36,2026,1,January,1,Wednesday
TXN0008099,CUST00188,CAT03,2025-07-17,38.06,GBP,Deliveroo,Online Banking,38.06,2025,7,July,3,Thursday
TXN0002217,CUST00170,CAT02,2026-02-01,212.47,GBP,British Gas,Card Payment,212.47,2026,2,February,1,Sunday
TXN0001670,CUST00459,CAT09,2025-03-13,123.53,GBP,Specsavers,Mobile App,123.53,2025,3,March,1,Thursday
TXN0000813,CUST00483,CAT05,2025-12-13,125.99,GBP,easyJet,Mobile App,125.99,2025,12,December,4,Saturday
TXN0011888,CUST00366,CAT02,2025-07-01,95.53,GBP,British Gas,Mobile App,95.53,2025,7,July,3,Tuesday
TXN0008145,CUST00365,CAT01,2025-12-26,114.36,GBP,Waitrose,Card Payment,114.36,2025,12,December,4,Friday
TXN0002981,CUST00016,CAT02,2025-11-08,126.29,GBP,Virgin Media,Card Payment,126.29,2025,11,November,4,Saturday
TXN0005964,CUST00125,CAT03,2025-07-10,62.89,GBP,Nando's,Mobile App,62.89,2025,7,July,3,Thursday
TXN0007657,CUST00166,CAT08,2025-10-03,289.37,GBP,IKEA,ATM,289.37,2025,10,October,4,Friday
TXN0006963,CUST00083,CAT03,2026-05-25,76.53,GBP,Costa Coffee,Mobile App,76.53,2026,5,May,2,Monday
TXN0000742,CUST00484,CAT09,2026-02-07,48.7,GBP,Bupa,Mobile App,48.7,2026,2,February,1,Saturday
TXN0005298,CUST00383,CAT04,2025-05-10,38.32,GBP,PlayStation Store,Online Banking,38.32,2025,5,May,2,Saturday
TXN0011357,CUST00333,CAT02,2025-12-23,54.32,GBP,EE,Card Payment,54.32,2025,12,December,4,Tuesday
TXN0010975,CUST00460,CAT02,2025-08-22,192.83,GBP,EE,Mobile App,192.83,2025,8,August,3,Friday
TXN0002616,CUST00299,CAT02,2025-03-23,52.42,GBP,EDF Energy,Mobile App,52.42,2025,3,March,1,Sunday
TXN0003882,CUST00105,CAT05,2026-05-31,593.24,GBP,Trainline,ATM,593.24,2026,5,May,2,Sunday
TXN0005266,CUST00033,CAT01,2026-04-21,63.95,GBP,Waitrose,Mobile App,63.95,2026,4,April,2,Tuesday
TXN0008835,CUST00130,CAT10,2025-10-27,472.06,GBP,Fee,Mobile App,472.06,2025,10,October,4,Monday
TXN0011468,CUST00194,CAT02,2025-03-08,181.0,GBP,British Gas,Card Payment,181.0,2025,3,March,1,Saturday
TXN0006795,CUST00078,CAT03,2025-04-17,40.05,GBP,Costa Coffee,Mobile App,40.05,2025,4,April,2,Thursday
TXN0000829,CUST00167,CAT09,2026-02-20,111.94,GBP,Boots,Card Payment,111.94,2026,2,February,1,Friday
TXN0007788,CUST00389,CAT08,2025-04-27,370.45,GBP,Argos,Mobile App,370.45,2025,4,April,2,Sunday
TXN0008820,CUST00297,CAT07,2025-05-27,20.4,GBP,The Times,Card Payment,20.4,2025,5,May,2,Tuesday
TXN0001458,CUST00312,CAT02,2026-02-03,178.83,GBP,British Gas,Mobile App,178.83,2026,2,February,1,Tuesday
TXN0002665,CUST00219,CAT06,2025-06-18,61.56,GBP,Shell,Card Payment,61.56,2025,6,June,2,Wednesday
TXN0005509,CUST00285,CAT09,2026-02-27,42.43,GBP,Specsavers,ATM,42.43,2026,2,February,1,Friday
TXN0000750,CUST00078,CAT04,2025-10-01,39.33,GBP,Netflix,Mobile App,39.33,2025,10,October,4,Wednesday
TXN0006299,CUST00407,CAT04,2025-02-17,44.85,GBP,PlayStation Store,Mobile App,44.85,2025,2,February,1,Monday
TXN0006692,CUST00098,CAT05,2026-02-24,197.69,GBP,Airbnb,Online Banking,197.69,2026,2,February,1,Tuesday
TXN0008599,CUST00005,CAT10,2025-12-01,262.66,GBP,Direct Debit,ATM,262.66,2025,12,December,4,Monday
TXN0009422,CUST00144,CAT10,2026-05-14,276.8,GBP,Direct Debit,Mobile App,276.8,2026,5,May,2,Thursday
